#coordinates: (min_x, min_y, max_x, max_y)
car_lincolnMKZ(3) : (-15.45000955721958, 45.00805681119186, -13.449990456909664, 50.20806415743501)
car_lincolnMKZ(4) : (-53.70806579155155, 0.7900661908660689, -48.50805517707535, 2.790093788666444)
car_lincolnMKZ(5) : (-7.460002649034358, -71.52806150390931, -5.459997347129768, -66.32805946471755)
car_lincolnMKZ(6) : (-11.240002649034356, -25.337961503909305, -9.239997347129776, -20.13795946471754)
car_lincolnMKZ(7) : (-23.620102648913402, -61.711940535281805, -21.620097347012248, -56.511938496091354)
car_lincolnMKZ(8) : (-15.610102648913381, -73.46194053528178, -13.610097347012255, -68.26193849609133)
car_lincolnMKZ(9) : (13.297757830685564, -95.76010689436566, 18.497763137941302, -93.76009309546018)
car_lincolnMKZ(10) : (110.00805783068559, -101.05000689436567, 115.20806313794132, -99.04999309546018)
car_lincolnMKZ(11) : (2.647807830685566, -92.93000689436568, 7.847813137941299, -90.92999309546022)
car_lincolnMKZ(12) : (-7.450362649034364, -161.51806150390934, -5.450357347129765, -156.31805946471758)
car_lincolnMKZ(13) : (-11.130302649034364, -138.09806150390935, -9.130297347129767, -132.8980594647176)
car_lincolnMKZ(14) : (44.52193420844846, -108.60101380913392, 49.72194482292464, -106.60098621133358)
car_lincolnMKZ(15) : (147.69193420844843, -115.86101380913394, 152.89194482292461, -113.86098621133357)
car_lincolnMKZ(16) : (161.49193420844847, -111.78101380913394, 166.69194482292465, -109.78098621133357)
car_lincolnMKZ(17) : (219.50999735096556, -150.96806150390935, 221.51000265287016, -145.7680594647176)
car_lincolnMKZ(18) : (212.08999735096563, -137.17806150390936, 214.09000265287017, -131.9780594647176)
car_lincolnMKZ(19) : (222.85999735096564, -142.92806150390936, 224.86000265287018, -137.7280594647176)
car_lincolnMKZ(20) : (239.3680578306856, -0.10065789436570094, 244.56806313794135, 1.8993559045398052)
car_lincolnMKZ(21) : (260.38805783068557, 0.03928310563429682, 265.58806313794133, 2.039296904539805)
car_lincolnMKZ(22) : (248.20805783068556, 3.8793231056342976, 253.40806313794133, 5.879336904539809)
car_lincolnMKZ(23) : (223.14999735096558, -24.74866150390931, 225.15000265287017, -19.548659464717545)
car_lincolnMKZ(24) : (212.1699835628607, -21.768666810942438, 214.1700164615619, -16.568654157684502)
car_lincolnMKZ(25) : (218.93999735096557, -34.628661503909306, 220.94000265287016, -29.428659464717544)
car_lincolnMKZ(26) : (207.9799973510866, -86.22194053528177, 209.98000265298774, -81.02193849609135)
car_lincolnMKZ(27) : (196.6699973510866, -22.892440535281796, 198.67000265298773, -17.692438496091352)
car_lincolnMKZ(28) : (296.23193420844837, -68.02091380913393, 301.4319448229246, -66.02088621133356)
car_lincolnMKZ(29) : (373.8919342084484, -68.29141380913393, 379.09194482292463, -66.29138621133356)
car_lincolnMKZ(30) : (196.79999735108663, 40.1675594647182, 198.80000265298776, 45.36756150390864)
car_lincolnMKZ(31) : (207.7899973510866, 27.847559464718206, 209.79000265298774, 33.04756150390865)
car_lincolnMKZ(32) : (138.51805783068556, 0.3696231056342971, 143.71806313794133, 2.3696369045398056)
car_lincolnMKZ(33) : (152.11805783068556, -2.4903868943657024, 157.31806313794132, -0.49037309546019414)
car_lincolnMKZ(34) : (131.28999735096562, -21.258361503909303, 133.29000265287016, -16.058359464717544)
car_lincolnMKZ(35) : (96.68193420844844, -65.90021380913393, 101.88194482292465, -63.90018621133356)
car_lincolnMKZ(36) : (183.30193420844842, -65.63061380913395, 188.50194482292466, -63.63058621133355)
car_lincolnMKZ(37) : (46.2900973510866, 11.567959464718202, 48.290102652987756, 16.767961503908648)
car_lincolnMKZ(38) : (88.56815783068559, 41.68979310563431, 93.76816313794133, 43.68980690453979)
car_lincolnMKZ(39) : (127.5399973509656, 18.80163849609069, 129.54000265287019, 24.001640535282455)
car_lincolnMKZ(40) : (4.7280578306855645, 3.8300231056343264, 9.928063137941301, 5.8300369045397975)
car_lincolnMKZ(41) : (34.03805783068557, 4.519943105634329, 39.2380631379413, 6.519956904539795)
car_bsnzs(1) : (-20.00000265060374, 23.008993219641756, -17.999997348421836, 28.208995258940188)
car_bsnzs(2) : (-11.380009553550135, 37.391002087495494, -9.379990452762048, 42.591009433922565)
car_bsnzs(3) : (-23.870002650603745, 49.488993219641756, -21.869997348421833, 54.68899525894018)
car_bsnzs(4) : (-41.93899954641598, -5.759953804482135, -36.73898893216599, -3.7599262072699267)
car_bsnzs(5) : (-10.930012649325306, -51.57899525886253, -8.93000734754716, -46.37899321971938)
car_bsnzs(6) : (-3.0300026493253007, -25.898895258862538, -1.02999734754716, -20.6988932197194)
car_bsnzs(7) : (-19.520102650603754, -76.34100678035823, -17.520097348421835, -71.1410047410598)
car_bsnzs(8) : (-15.510102650603752, -80.22100678035824, -13.510097348421834, -75.02100474105981)
car_bsnzs(9) : (5.498891585737592, -97.07000689605192, 10.698896892844356, -95.06999309753377)
car_bsnzs(10) : (130.04899158573767, -101.33000689605191, 135.24899689284445, -99.32999309753376)
car_bsnzs(11) : (18.8087915857376, -93.4600068960519, 24.008796892844355, -91.45999309753377)
car_bsnzs(12) : (-8.160322649325302, -171.09899525886257, -6.160317347547161, -165.89899321971942)
car_bsnzs(13) : (-2.9203326493252995, -146.30899525886258, -0.9203273475471601, -141.10899321971942)
car_bsnzs(14) : (162.05100045358398, -115.73001380448214, 167.25101106783399, -113.72998620726993)
car_bsnzs(15) : (168.39100045358398, -108.66101380448214, 173.591011067834, -106.66098620726993)
car_bsnzs(16) : (68.33070045358402, -115.98001380448216, 73.53071106783399, -113.97998620726995)
car_bsnzs(17) : (212.00999735067472, -158.27899525886255, 214.01000265245284, -153.07899321971945)
car_bsnzs(18) : (215.61999735067474, -138.22899525886254, 217.62000265245285, -133.02899321971944)
car_bsnzs(19) : (200.3099973493962, -177.96100678035825, 202.31000265157815, -172.7610047410598)
car_bsnzs(20) : (240.55899158573766, -4.210626896051905, 245.75899689284444, -2.2106130975337797)
car_bsnzs(21) : (276.70100045358396, -12.750713804482137, 281.90101106783396, -10.750686207269913)
car_bsnzs(22) : (348.11899158573755, -4.410946896051907, 353.31899689284427, -2.41093309753378)
car_bsnzs(23) : (223.40999735067473, -60.26959525886253, 225.41000265245285, -55.0695932197194)
car_bsnzs(24) : (218.82999735067474, -44.62949525886253, 220.83000265245286, -39.429493219719404)
car_bsnzs(25) : (212.00998355741334, -30.25950056597289, 214.01001645638976, -25.059487912609097)
car_bsnzs(26) : (204.4899973493963, -85.67100678035824, 206.49000265157818, -80.47100474105982)
car_bsnzs(27) : (196.9299973493963, -77.24150678035825, 198.93000265157818, -72.04150474105982)
car_bsnzs(28) : (272.63999735067466, -53.74969525886254, 274.64000265245284, -48.54969321971938)
car_bsnzs(29) : (327.581000453584, -66.84111380448215, 332.781011067834, -64.84108620726988)
car_bsnzs(30) : (196.98999734939622, 21.978393219641745, 198.99000265157815, 27.178395258940192)
car_bsnzs(31) : (204.5099973493962, 26.458393219641742, 206.51000265157813, 31.65839525894019)
car_bsnzs(32) : (138.76899158573767, -3.0603368960519086, 143.96899689284444, -1.0603230975337812)
car_bsnzs(33) : (152.52899158573766, 3.699613103948093, 157.72899689284444, 5.69962690246622)
car_bsnzs(34) : (56.84100045358402, -66.01011380448215, 62.04101106783401, -64.01008620726994)
car_bsnzs(35) : (180.33100045358398, -69.10061380448215, 185.531011067834, -67.10058620726994)
car_bsnzs(36) : (142.48999735067474, -43.31929525886253, 144.49000265245286, -38.1192932197194)
car_bsnzs(37) : (56.32909158573758, 42.08989310394809, 61.52909689284434, 44.08990690246622)
car_bsnzs(38) : (95.79009735067469, 16.710804741137466, 97.79010265245283, 21.910806780280602)
car_bsnzs(39) : (128.26998355741335, 60.94069943402712, 130.27001645638978, 66.14071208739091)
